,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_merged_1_dropout,params_merged_1_size,params_merged_2_dropout,params_merged_2_size,params_merged_3_dropout,params_merged_3_size,state
44,44,0.8207547169811321,2024-03-04 22:07:47.050386,2024-03-04 22:08:05.378105,0 days 00:00:18.327719,0.0008156161256006542,0.40948281193914776,71,0.16814243582801922,71,0.2570701295462827,47,COMPLETE
45,45,0.7830188679245284,2024-03-04 22:08:05.379647,2024-03-04 22:08:36.744433,0 days 00:00:31.364786,0.0002659198425889763,0.4485390638731756,245,0.3096378377805375,96,0.28615132568247476,54,COMPLETE
46,46,0.8018867924528302,2024-03-04 22:08:36.745599,2024-03-04 22:09:00.557166,0 days 00:00:23.811567,0.0004173979710069198,0.4785557927783299,205,0.4088094338222252,87,0.3607187047383824,16,COMPLETE
47,47,0.8207547169811321,2024-03-04 22:09:00.558047,2024-03-04 22:09:12.876702,0 days 00:00:12.318655,0.00164380346556007,0.42461323308715365,103,0.274646858664704,80,0.4051157251857583,57,COMPLETE
48,48,0.8018867924528302,2024-03-04 22:09:12.878500,2024-03-04 22:09:48.744971,0 days 00:00:35.866471,0.0002130997950306079,0.3899121216844402,173,0.4406382424868063,94,0.31275191868407626,58,COMPLETE
49,49,0.5188679245283019,2024-03-04 22:09:48.746193,2024-03-04 22:09:57.956343,0 days 00:00:09.210150,0.033683407104486536,0.3553363762614508,220,0.480909682223623,102,0.48623186623132286,50,COMPLETE
50,50,0.8018867924528302,2024-03-04 22:09:57.957610,2024-03-04 22:10:06.868794,0 days 00:00:08.911184,0.007918160546482788,0.4553447693193772,246,0.338363966188027,82,0.49822203592363423,47,COMPLETE
51,51,0.8018867924528302,2024-03-04 22:10:06.869955,2024-03-04 22:10:20.338872,0 days 00:00:13.468917,0.0025687831028722726,0.22878973474394365,93,0.39360375146877735,110,0.3371508611350126,62,COMPLETE
52,52,0.8207547169811321,2024-03-04 22:10:20.340079,2024-03-04 22:10:36.400327,0 days 00:00:16.060248,0.0035444380690541075,0.19632325061695072,152,0.3663736316002307,100,0.30497871791852627,59,COMPLETE
53,53,0.7830188679245284,2024-03-04 22:10:36.402618,2024-03-04 22:10:53.235790,0 days 00:00:16.833172,0.0013337502468428958,0.40680733198315383,230,0.41848300793794296,92,0.38748418914614247,55,COMPLETE
54,54,0.8018867924528302,2024-03-04 22:10:53.237980,2024-03-04 22:11:04.794232,0 days 00:00:11.556252,0.004947479641231798,0.12501335731052693,128,0.4056721174507244,118,0.2325887321449061,52,COMPLETE
55,55,0.8018867924528302,2024-03-04 22:11:04.794900,2024-03-04 22:11:28.493831,0 days 00:00:23.698931,0.0008760033488978002,0.33360664070004964,115,0.25286267003051377,106,0.4521915882911924,58,COMPLETE
